ytd_rank_nonsemi,company_mcap_rank,ticker,name,industry,market_cap_trn,close_2025,close_latest,ytd_pct,ret_20d_pct
163,24,035420,NAVER,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",30.0234,242500.0,191300.0,-21.11340206185567,-22.5506072874494
164,140,017800,현대엘리베이터,일반 목적용 기계 제조업,2.7169,88300.0,69500.0,-21.29105322763307,-13.016270337922398
165,183,000120,CJ대한통운,도로 화물 운송업,1.6858,94600.0,73900.0,-21.8816067653277,-10.640870616686815
166,126,251270,넷마블,소프트웨어 개발 및 공급업,3.0766,48250.0,37550.0,-22.176165803108805,-11.542991755005893
167,195,006280,녹십자,의약품 제조업,1.4398,159000.0,123200.0,-22.515723270440247,-2.5316455696202556
168,124,035250,강원랜드,유원지 및 기타 오락관련 서비스업,3.1257,18950.0,14610.0,-22.9023746701847,-6.942675159235668
169,32,015760,한국전력,전기업,23.2391,47200.0,36200.0,-23.305084745762716,-3.8512616201859196
170,190,069620,대웅제약,의약품 제조업,1.5283,172300.0,131900.0,-23.44747533372026,9.825145711906735
171,133,302440,SK바이오사이언스,기초 의약물질 제조업,2.8754,48200.0,36650.0,-23.962655601659755,-6.505102040816324
172,141,450080,에코프로머티,일차전지 및 이차전지 제조업,2.698,52100.0,38100.0,-26.87140115163148,-31.96428571428571
173,178,439260,대한조선,선박 및 보트 건조업,1.8378,67000.0,48250.0,-27.985074626865668,-22.05169628432956
174,28,042660,한화오션,선박 및 보트 건조업,24.9114,113600.0,81300.0,-28.4330985915493,-27.86157941437445
175,127,022100,포스코DX,"건축기술, 엔지니어링 및 관련 기술 서비스업",3.0711,28750.0,20200.0,-29.739130434782613,-27.728085867620756
176,168,071970,HD현대마린엔진,일반 목적용 기계 제조업,2.0896,89500.0,61600.0,-31.173184357541896,-6.666666666666665
177,70,352820,하이브,오디오물 출판 및 원판 녹음업,9.504,330000.0,220500.0,-33.18181818181818,-2.0000000000000018
178,84,326030,SK바이오팜,자연과학 및 공학 연구개발업,6.453,124600.0,82400.0,-33.86837881219904,-6.2571103526734895
179,179,103140,풍산,1차 비철금속 제조업,1.8244,106500.0,65100.0,-38.87323943661972,-11.907983761840324
180,97,000100,유한양행,의약품 제조업,5.4559,112400.0,68500.0,-39.05693950177936,-11.269430051813467
181,49,035720,카카오,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",15.6594,60100.0,35350.0,-41.181364392678866,-14.819277108433738
182,69,0126Z0,삼성에피스홀딩스,기타 금융업,9.5675,743000.0,384500.0,-48.25033647375505,-13.885778275475925
