ytd_rank_nonsemi,company_mcap_rank,ticker,name,industry,market_cap_trn,close_2025,close_latest,ytd_pct,ret_20d_pct
124,130,397030,에이프릴바이오,자연과학 및 공학 연구개발업,0.6392,54900.0,27300.0,-50.27322404371585,-34.13751507840772
125,154,456160,지투지바이오,의약품 제조업,0.5396,67000.0,32450.0,-51.56716417910447,-28.44542447629548
126,160,358570,지아이이노베이션,자연과학 및 공학 연구개발업,0.529,17640.0,8200.0,-53.51473922902494,-30.918281381634372
127,121,466100,클로봇,소프트웨어 개발 및 공급업,0.6861,59672.0,26950.0,-54.83643920096528,-21.940622737147
128,33,087010,펩트론,기초 의약물질 제조업,2.6022,254000.0,111600.0,-56.062992125984245,-51.47826086956522
129,175,389470,인벤티지랩,자연과학 및 공학 연구개발업,0.4904,84200.0,36850.0,-56.23515439429929,-17.837235228539573
130,59,0009K0,에임드바이오,,1.5489,57600.0,23950.0,-58.420138888888886,-11.948529411764708
131,186,476830,알지노믹스,자연과학 및 공학 연구개발업,0.465,80250.0,33150.0,-58.69158878504672,-28.169014084507037
132,14,298380,에이비엘바이오,기초 의약물질 제조업,4.5798,200000.0,81800.0,-59.099999999999994,-10.208562019758505
133,77,475830,오름테라퓨틱,기초 의약물질 제조업,1.0577,120000.0,48700.0,-59.41666666666667,-28.276877761413843
134,171,082270,젬백스,특수 목적용 기계 제조업,0.4954,29000.0,11190.0,-61.41379310344828,-15.4833836858006
135,63,030530,원익홀딩스,기초 화학물질 제조업,1.4513,48700.0,18790.0,-61.41683778234086,-39.38709677419355
136,168,348370,엔켐,기초 화학물질 제조업,0.5061,62900.0,23100.0,-63.27503974562798,-33.90557939914163
137,108,445680,큐리옥스바이오시스템즈,의료용 기기 제조업,0.7311,117000.0,42500.0,-63.67521367521367,-38.31640058055152
138,149,160190,하이젠알앤엠,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",0.5535,59500.0,17920.0,-69.88235294117648,-35.30685920577618
